Rank,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,SOS_NetRtg,SOS_ORtg,SOS_DRtg,NCSOS_NetRtg
286,East Texas A&M,Slnd,11-21,-10.80,100.9,111.7,68.2,0.001,-0.47,108.5,109.0,6.98
287,Brown,Ivy,9-18,-10.82,98.2,109.0,66.5,-0.050,-3.57,108.3,111.9,-8.34
288,North Carolina A&T,CAA,11-19,-10.92,105.5,116.4,68.6,-0.023,-3.35,107.8,111.2,-8.59
289,Houston Christian,Slnd,12-20,-11.12,103.1,114.2,64.4,0.034,-2.08,108.0,110.0,-0.64
290,Lehigh,PL,17-16,-11.20,102.8,114.0,67.0,0.088,-8.09,105.3,113.4,-0.22
291,Ball St.,MAC,12-19,-11.34,98.7,110.1,63.7,-0.005,-3.73,108.5,112.2,-6.09
292,Delaware,CUSA,10-21,-11.36,104.6,116.0,63.2,0.006,-2.52,107.9,110.4,-6.65
293,Loyola Chicago,A10,8-23,-11.43,103.3,114.8,65.8,0.062,3.15,110.9,107.7,-4.44
294,Grambling St.,SWAC,14-18,-11.43,97.5,108.9,67.6,-0.042,-8.60,103.8,112.4,2.40
295,Jacksonville,ASun,12-20,-11.47,103.3,114.8,63.4,-0.030,-3.73,109.4,113.1,5.63
296,Sacred Heart,MAAC,14-19,-11.50,107.5,119.0,68.5,0.001,-7.15,104.5,111.7,-1.67
297,Eastern Kentucky,ASun,11-21,-11.67,109.4,121.1,67.3,-0.017,-3.73,109.2,112.9,3.38
298,Le Moyne,NEC,15-17,-11.85,102.3,114.1,69.6,-0.018,-10.34,103.0,113.3,-1.50
299,UNC Greensboro,SC,15-19,-12.15,108.0,120.1,67.7,0.056,-5.75,108.4,114.1,-0.50
300,Chattanooga,SC,13-19,-12.20,105.6,117.8,67.3,-0.029,-6.66,108.2,114.9,-2.22
301,Alabama A&M,SWAC,17-14,-12.24,104.9,117.2,65.5,0.053,-10.52,102.5,113.0,-1.89
302,USC Upstate,BSth,13-19,-12.40,99.2,111.6,67.6,0.025,-5.22,106.5,111.7,-1.17
303,Stetson,ASun,12-21,-12.55,105.5,118.1,66.7,0.008,-3.53,108.9,112.5,5.13
304,West Georgia,ASun,15-17,-12.56,101.8,114.4,69.2,0.072,-6.35,109.1,115.4,0.62
305,Central Connecticut,NEC,18-12,-12.77,104.9,117.7,65.1,0.116,-10.83,102.5,113.4,-1.78
306,Wagner,NEC,14-17,-12.80,102.8,115.6,65.5,-0.001,-8.78,103.6,112.4,6.12
307,Evansville,MVC,7-25,-12.81,102.2,115.0,67.0,-0.011,4.90,111.3,106.4,4.16
308,Texas Southern,SWAC,12-17,-12.87,102.4,115.2,68.6,-0.025,-8.28,104.3,112.6,12.97
309,Little Rock,OVC,12-20,-12.96,103.0,116.0,66.7,-0.033,-6.12,103.9,110.0,5.03
310,Georgia St.,SB,10-22,-12.96,99.5,112.5,67.9,-0.040,-3.69,107.6,111.3,-0.13
311,Oral Roberts,Sum,10-23,-12.98,102.3,115.3,67.8,-0.055,-1.49,109.9,111.4,5.63
312,Prairie View A&M,SWAC,14-17,-13.06,101.1,114.2,72.0,-0.013,-8.74,104.1,112.9,9.21
313,Louisiana,SB,11-22,-13.27,100.4,113.6,63.3,0.033,-4.19,106.8,111.0,-1.59
314,Tennessee Tech,OVC,13-18,-13.36,102.8,116.1,66.9,-0.028,-7.31,103.9,111.2,3.26
315,Florida A&M,SWAC,14-15,-13.40,98.7,112.1,68.2,0.081,-8.09,104.5,112.6,8.07
316,Arkansas Pine Bluff,SWAC,13-18,-13.41,103.3,116.7,69.1,0.038,-5.14,106.4,111.6,14.70
317,IU Indy,Horz,7-25,-13.90,105.7,119.6,73.3,-0.033,-3.12,109.4,112.5,-0.62
318,UMass Lowell,AE,15-17,-14.10,102.8,116.9,69.2,0.018,-9.35,103.8,113.1,2.49
319,Alabama St.,SWAC,10-22,-14.39,99.4,113.8,69.5,-0.071,-6.45,104.6,111.1,8.67
320,Northern Arizona,BSky,10-22,-14.44,105.4,119.8,63.9,0.031,-0.70,109.9,110.6,0.52
321,Norfolk St.,MEAC,15-16,-14.58,101.7,116.3,67.9,-0.009,-10.99,101.9,112.9,0.85
322,Cleveland St.,Horz,11-22,-14.69,109.5,124.2,69.8,0.040,-1.70,110.3,112.0,4.41
323,Loyola MD,PL,12-20,-14.84,104.4,119.3,68.2,-0.027,-8.94,104.4,113.3,-6.45
324,Albany,AE,11-21,-14.90,103.6,118.5,65.2,-0.086,-6.98,105.2,112.1,4.61
325,Eastern Illinois,OVC,13-20,-14.92,97.1,112.0,65.7,0.037,-5.82,105.0,110.8,12.52
326,Lafayette,PL,11-21,-15.23,101.0,116.2,66.8,0.009,-7.30,105.7,112.9,-0.38
327,Cal St. Bakersfield,BW,8-24,-15.41,102.0,117.4,70.2,0.012,0.62,108.4,107.7,0.63
328,New Haven,NEC,14-17,-16.11,96.4,112.5,63.3,0.041,-9.12,103.3,112.4,3.27
329,Manhattan,MAAC,12-20,-16.48,104.7,121.1,67.9,0.053,-7.87,103.7,111.6,-2.57
330,Holy Cross,PL,11-22,-16.50,101.0,117.5,65.6,-0.007,-6.79,106.5,113.2,0.16
331,Bucknell,PL,10-23,-16.67,98.4,115.1,66.9,0.015,-5.69,107.2,112.9,2.36
332,NJIT,AE,16-16,-16.87,97.3,114.2,67.9,0.126,-9.24,103.6,112.9,1.34
333,Stonehill,NEC,12-21,-17.32,92.0,109.4,66.4,-0.007,-10.00,103.3,113.3,-2.89
334,Northern Illinois,MAC,9-21,-17.33,97.2,114.5,67.5,0.014,-0.83,109.5,110.4,2.45
335,North Florida,ASun,7-25,-17.57,107.1,124.7,70.4,-0.029,-3.16,108.5,111.6,8.13
336,Fairleigh Dickinson,NEC,11-21,-17.65,101.1,118.7,63.9,-0.006,-8.25,103.8,112.0,5.60
337,Army,PL,11-21,-18.44,100.4,118.8,67.1,0.044,-7.50,106.0,113.5,-1.62
338,Niagara,MAAC,8-22,-18.50,99.8,118.3,62.1,-0.038,-7.91,104.3,112.2,-3.61
339,Southern Indiana,OVC,7-23,-18.62,95.8,114.4,67.6,-0.105,-7.92,104.0,111.9,-1.31
340,UTSA,Amer,5-25,-18.69,99.8,118.5,68.7,-0.001,1.75,110.4,108.7,2.08
341,Jackson St.,SWAC,11-20,-19.16,100.9,120.1,69.4,0.097,-5.59,105.9,111.5,13.66
342,North Alabama,ASun,9-21,-19.25,99.8,119.0,64.9,0.057,-4.41,109.2,113.6,2.31
343,Canisius,MAAC,10-21,-19.27,95.5,114.8,64.2,0.019,-7.60,104.7,112.3,-3.21
344,Air Force,MWC,3-28,-19.52,96.5,116.1,66.2,-0.002,5.21,112.5,107.3,-4.47
345,Chicago St.,NEC,7-25,-19.61,99.7,119.3,65.4,-0.032,-4.29,106.0,110.3,11.08
346,The Citadel,SC,11-22,-20.19,101.0,121.2,64.4,0.028,-5.24,108.3,113.6,-1.36
347,Alcorn St.,SWAC,9-22,-20.27,97.0,117.3,67.4,0.047,-4.85,106.1,110.9,13.19
348,Maine,AE,8-24,-20.29,91.8,112.1,64.8,-0.031,-8.82,104.4,113.2,-1.00
349,Maryland Eastern Shore,MEAC,9-22,-20.37,94.7,115.1,63.1,-0.046,-8.34,104.3,112.7,5.47
350,New Hampshire,AE,9-21,-20.70,95.5,116.2,67.5,-0.002,-7.74,104.7,112.4,5.73
351,Louisiana Monroe,SB,4-28,-21.07,101.4,122.5,70.2,-0.099,-3.40,107.0,110.4,-1.08
352,Morgan St.,MEAC,14-15,-21.24,100.2,121.5,70.8,0.118,-11.82,101.4,113.2,-1.32
353,North Carolina Central,MEAC,12-17,-21.93,99.6,121.5,66.4,0.058,-8.89,103.5,112.4,9.49
354,Saint Francis,NEC,7-24,-22.31,99.8,122.1,70.0,-0.025,-6.52,105.3,111.8,7.56
355,Bryant,AE,9-22,-22.98,96.8,119.8,64.2,0.009,-7.60,104.0,111.6,2.79
356,South Carolina St.,MEAC,9-21,-24.10,95.3,119.4,68.2,0.022,-8.38,104.4,112.8,3.74
357,Rider,MAAC,4-25,-24.46,95.9,120.3,65.8,-0.024,-4.70,106.1,110.8,11.15
358,Kansas City,Sum,4-27,-25.11,92.4,117.5,69.8,-0.017,-1.28,110.4,111.7,6.25
359,Binghamton,AE,8-23,-25.51,97.8,123.4,65.3,-0.019,-11.96,102.1,114.0,-7.97
360,VMI,SC,6-26,-26.21,98.9,125.1,70.5,-0.040,-7.60,104.0,111.6,-1.31
