Rank,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,SOS_NetRtg,SOS_ORtg,SOS_DRtg,NCSOS_NetRtg
100,Mississippi St.,SEC,13-18,7.29,113.6,106.3,69.6,0.001,13.12,117.8,104.6,0.84
101,Kansas St.,B12,12-19,7.17,113.1,105.9,72.6,-0.069,13.06,116.3,103.3,0.36
102,DePaul,BE,16-15,7.00,107.9,100.9,66.4,-0.004,8.05,113.8,105.7,-9.71
103,Illinois St.,MVC,20-12,6.64,110.8,104.1,66.7,-0.009,1.67,110.4,108.7,-2.50
104,UNLV,MWC,16-15,6.34,116.0,109.7,70.1,-0.010,6.36,112.7,106.4,1.43
105,Illinois Chicago,MVC,19-15,6.16,110.7,104.6,66.4,-0.061,1.92,110.5,108.6,-2.09
106,UC Irvine,BW,22-10,6.04,104.2,98.2,68.4,-0.007,-0.68,109.0,109.7,0.88
107,Davidson,A10,19-12,5.93,110.8,104.8,63.8,0.029,2.64,110.4,107.8,0.21
108,Sam Houston St.,CUSA,21-10,5.90,115.0,109.1,70.2,-0.003,0.09,109.9,109.9,6.29
109,St. Thomas,Sum,24-9,5.89,114.3,108.4,68.3,-0.034,-5.32,107.7,113.1,-0.58
110,UNC Wilmington,CAA,26-6,5.83,112.2,106.3,65.1,0.028,-4.70,106.9,111.6,-8.00
111,Pacific,WCC,18-15,5.46,111.0,105.6,64.3,-0.020,3.32,110.9,107.6,0.33
112,Cal Baptist,WAC,23-8,5.44,108.2,102.8,65.7,0.084,-1.90,107.3,109.1,-2.91
113,UC San Diego,BW,22-10,5.29,109.0,103.7,67.3,0.004,-0.74,108.3,109.0,0.58
114,North Dakota St.,Sum,27-7,5.14,112.0,106.9,66.4,0.040,-5.49,106.9,112.4,-0.61
115,Hawaii,BW,22-8,5.03,107.3,102.2,69.8,0.028,-3.54,107.0,110.6,-10.77
116,Liberty,CUSA,25-6,4.65,118.3,113.7,63.9,0.157,-1.44,108.0,109.4,1.13
117,Southern Illinois,MVC,16-16,4.62,104.1,99.5,69.0,-0.094,2.22,110.4,108.2,0.40
118,Seattle,WCC,20-13,4.59,102.5,98.0,67.7,0.017,2.06,111.1,109.1,-3.09
119,UT Rio Grande Valley,Slnd,19-13,4.37,111.6,107.2,66.5,-0.043,-1.47,108.1,109.5,8.71
120,San Francisco,WCC,17-16,4.30,114.0,109.7,66.0,-0.006,4.54,111.3,106.8,0.75
121,Murray St.,MVC,20-12,4.15,116.5,112.3,71.6,0.043,1.54,110.2,108.7,-3.37
122,Saint Joseph's,A10,21-10,4.04,107.0,103.0,68.3,0.093,1.01,109.4,108.4,-4.62
123,Bradley,MVC,21-12,4.00,112.0,108.0,67.4,0.039,1.05,109.4,108.4,-5.02
124,UAB,Amer,20-11,3.97,109.9,106.0,69.1,0.020,-0.40,109.1,109.5,-5.04
125,UC Santa Barbara,BW,18-13,3.46,114.4,110.9,64.1,-0.058,-0.90,107.8,108.7,-0.28
126,Florida Atlantic,Amer,17-14,3.45,110.5,107.1,69.6,-0.034,2.29,110.8,108.5,3.26
127,Utah,B12,10-21,3.44,114.7,111.3,66.1,-0.007,12.17,116.3,104.1,0.35
128,Maryland,B10,11-20,3.36,111.3,107.9,66.1,0.014,14.95,117.9,103.0,1.71
129,Rutgers,B10,13-18,3.32,111.0,107.7,66.6,0.037,11.02,115.3,104.3,-7.21
130,Memphis,Amer,13-18,3.22,107.7,104.4,70.2,-0.050,5.98,113.0,107.0,10.86
131,Fresno St.,MWC,13-18,3.14,107.9,104.8,68.3,-0.069,5.01,112.7,107.7,-2.52
132,Montana St.,BSky,18-14,3.01,111.1,108.1,66.0,-0.083,0.37,111.1,110.7,6.77
133,Duquesne,A10,17-14,2.91,110.7,107.8,69.1,-0.011,2.38,110.8,108.4,-6.00
134,Rhode Island,A10,16-15,2.87,106.1,103.2,66.0,-0.039,1.07,110.0,108.9,-5.07
135,Toledo,MAC,17-14,2.65,115.0,112.3,67.9,-0.065,-0.99,109.9,110.9,2.45
136,Washington St.,WCC,12-20,2.41,114.2,111.8,67.9,-0.094,5.48,111.5,106.0,5.40
137,Penn St.,B10,12-19,2.31,114.5,112.2,67.5,-0.005,10.89,116.1,105.2,-6.84
138,Wright St.,Horz,22-11,2.10,113.1,111.0,67.2,-0.002,-3.71,109.8,113.6,1.22
139,North Texas,Amer,18-13,2.04,103.9,101.9,64.8,0.011,0.75,110.2,109.4,0.20
140,Northern Colorado,BSky,20-12,1.97,112.5,110.5,68.8,-0.024,-1.68,109.7,111.3,0.22
141,Navy,PL,26-7,1.85,107.6,105.8,65.1,0.053,-11.78,103.7,115.4,-9.17
