
Seattle,103.02,97.0023,0.666458,20-13,20,33,49.4,48.3,34.5,32.9,17,21.1,24.6,31.8,67.7,49.7,48.2,32.6,32.4,0,0,52.9,54.6,39,37.4,67.7,,,,2026,,,,-5.2554,70.3,
Villanova,120.367,100.763,0.885388,24-7,24,31,54.1,51.1,31.6,29,15.3,18.6,32.8,31.2,64.8706,54.5,51.3,35.7,33.7,0,0,56.6,53.8,45.6,37,64.8706,,,,2026,,,,4.5251,69.2,
Howard,104.593,106.963,0.435942,21-10,21,31,51,47.6,42.4,38.8,19.9,21,36.2,31.9,69.1243,50,48.8,35.3,30.1,0,0,61.2,46.9,34.3,33.7,69.1243,,,,2026,,,,-6.81678,74.1,
"Utah St.",124.311,104.338,0.882286,25-6,25,31,57,49.9,38.6,39.1,15.5,20.3,33.8,32.6,67.5132,59.6,49,35.5,34.2,0,0,59.7,49,41.4,41.4,67.5132,,,,2026,,,,3.02325,70.8,
Marist,100.205,102.639,0.431459,19-12,19,31,49.3,45.6,25.7,37.6,16.9,19.5,29.1,28.3,66.2219,49.8,47.1,32.2,28.6,0,0,58.9,46.3,34.6,36.8,66.2219,,,,2026,,,,-9.09084,78.1,
"Portland St.",103.972,102.814,0.532157,20-10,20,30,51.3,48.4,37.1,42.7,17.2,17.7,29.9,26.8,67.6894,51.8,48.8,33.5,31.8,0,0,51.8,53,34.2,39.2,67.6894,,,,2026,,,,-5.34351,70.1,
Denver,115.455,121.87,0.349359,15-17,15,32,53.6,56,34.1,36.8,14.3,13,29.8,32.8,68.0213,52.6,56.6,36.8,36.7,0,0,40.2,42.4,38.6,37,68.0213,,,,2026,,,,-10.763,77.1,
"Cal St. Northridge",108.525,108.323,0.505364,19-13,19,32,51,51.6,35.3,34.6,17.8,16.2,32.3,26,73.6799,52.2,51.5,32.4,34.5,0,0,56.8,57.4,33.1,48.8,73.6799,,,,2026,,,,-7.59764,66.5,
Maryland,111.638,107.576,0.604962,11-20,11,31,48.1,54.7,36.4,35.6,18.5,14.9,33.5,29.4,66.2284,48.5,54.4,31.7,36.7,0,0,45.1,60.7,46.8,43.1,66.2284,,,,2026,,,,-5.38473,72.2,
Rice,109.527,113.142,0.407708,13-18,13,31,48.5,51,33.9,40.4,17.9,15.7,35.3,34.6,65.5856,46.2,51,34.3,34,0,0,46.2,47.4,44.1,35.5,65.5856,,,,2026,,,,-12.1261,68.1,
"Abilene Christian",99.8143,107.358,0.301988,13-18,13,31,47.1,56.7,40.1,53.2,20.9,23.7,31.3,29.2,67.1301,47.4,54.8,31.1,40.7,0,0,53.5,49.6,32.9,30.2,67.1301,,,,2026,,,,-11.7744,70.4,
Rider,97.2075,121.035,0.0743887,4-25,4,29,42.8,55.2,30.1,32.5,16.9,15.3,32.6,32.8,65.6664,43.3,54,27.7,37.9,0,0,44.3,54.4,27.5,39.9,65.6664,,,,2026,,,,-19.6043,70.1,
"Boston College",104.292,102.169,0.558864,11-20,11,31,47,48.9,32.4,34.6,15.4,14.9,28.3,28.6,65.8715,49.1,49.6,29.4,31.9,0,0,47.4,48.6,42.4,39,65.8715,,,,2026,,,,-9.94814,65.3,
Arizona,125.746,91.6174,0.974455,29-2,29,31,55,44.6,42.9,28.6,15.2,16.9,38.4,26.2,70.3296,55.7,43.4,35.3,31.2,0,0,56.6,49.3,26.9,37.1,70.3296,,,,2026,,,,11.5798,73.9,
"Penn St.",114.296,112.404,0.54784,12-19,12,31,52.9,58.5,33.9,27.1,15.3,17.8,26,31,67.515,55.8,58.4,32.1,39.1,0,0,47.5,59.9,38.2,43.5,67.515,,,,2026,,,,-6.575,74.9,
Hawaii,107.568,103.196,0.617062,22-8,22,30,52.5,46.8,43.2,37.2,18.8,16.9,30.5,25.1,69.7166,55.2,47.3,32.2,30.4,0,0,48.7,37.5,39.8,32.3,69.7166,,,,2026,,,,-3.97782,73.3,
"San Diego",108.995,112.753,0.403765,12-21,12,33,51.2,54.7,25.8,38.8,17.5,18.9,28.1,34.5,68.096,50.8,58.5,34.6,32.7,0,0,59.1,57.3,43.7,40.1,68.096,,,,2026,,,,-13.3607,74.7,
"UC Davis",108.52,108.105,0.511002,18-13,18,31,52.1,52.4,40.9,37.8,18,19.8,26.1,30.5,68.3553,51.8,52.6,34.9,34.8,0,0,60.9,53.5,43.6,38.1,68.3553,,,,2026,,,,-7.63408,75.3,
LSU,118.652,107.1,0.764589,15-16,15,31,52.8,50.8,41.2,37.9,15.7,14.1,33.1,31.7,66.4419,54.2,49.1,33.3,35.6,0,0,53.2,46.3,34.6,38,66.4419,,,,2026,,,,-3.91996,76.7,
"Fresno St.",107.374,104.415,0.579654,13-18,13,31,50.6,51.6,34.4,28.7,18.1,18.4,28.1,30.5,68.3306,52.1,56,32.2,30.6,0,0,49.9,50.7,40.8,43.7,68.3306,,,,2026,,,,-9.49134,74.8,
UMKC,93.9561,118.176,0.0667618,4-27,4,31,45.7,56.3,29.2,31.4,18.2,16.4,26.4,35.9,69.721,47.6,56.2,28.4,37.6,0,0,46.2,52.4,36.8,39,69.721,,,,2026,,,,-21.4319,66.2,
Baylor,123.64,106.885,0.842189,16-15,16,31,54,52.2,35.2,29.9,16.4,15.9,37.4,32.3,67.7597,55.1,51.6,35,35.5,0,0,53.6,48.8,39.2,34.5,67.7597,,,,2026,,,,-1.6737,73.2,
