Team,TeamID,Season,BT_AdjOE,BT_AdjDE,BT_Barthag,BT_AdjT,BT_EFG_O,BT_EFG_D,BT_OR_Pct,BT_DR_Pct,BT_FTR,BT_FTRD,BT_AdjNetEff
Kent St.,1245.0,2026,111.273,110.921,0.50909,70.7788,52.5,52.2,35.8,29.7,18.6,16.5,-3.2231
High Point,1219.0,2026,116.407,108.032,0.702364,69.8912,54.7,50.1,32.1,31.7,13.0,21.9,-1.28431
Weber St.,1451.0,2026,111.507,114.204,0.431706,68.5539,51.6,54.3,32.0,27.5,15.8,16.2,-9.73737
Maine,1263.0,2026,92.9053,112.116,0.103265,64.7342,49.6,50.6,19.7,34.3,19.1,19.4,-20.4369
Radford,1347.0,2026,107.141,113.68,0.335973,70.66,51.3,53.0,29.8,32.2,17.1,18.5,-11.7041
Kansas,1242.0,2026,119.536,95.0702,0.932988,67.5254,52.5,45.1,29.4,30.2,15.6,13.8,5.91219
SMU,1374.0,2026,124.095,106.685,0.850485,68.9905,55.9,51.6,35.0,31.6,15.8,17.2,-0.0417051
Richmond,1350.0,2026,110.903,110.681,0.505769,67.6281,52.9,51.7,25.1,31.1,14.5,17.6,-9.90077
Providence,1344.0,2026,121.788,110.066,0.762024,71.2666,54.9,51.6,32.6,30.7,16.9,13.2,-5.1933
Louisville,1257.0,2026,125.948,99.2891,0.939067,70.0851,56.8,48.6,33.1,26.6,16.3,16.7,3.98004
Davidson,1172.0,2026,111.583,104.028,0.6913,63.7569,53.0,50.6,28.8,30.2,16.1,17.7,-5.03912
North Florida,1316.0,2026,107.657,124.448,0.158854,70.423,52.9,56.3,25.2,37.6,17.9,12.7,-18.8945
Missouri St.,1283.0,2026,109.107,111.629,0.434666,65.5941,50.3,52.2,32.2,31.4,16.9,17.1,-12.271
Vanderbilt,1435.0,2026,125.783,99.6244,0.935909,69.5137,55.6,48.5,31.3,30.3,13.6,18.0,5.94147
Washington St.,1450.0,2026,114.952,111.126,0.596093,67.8572,54.7,52.6,29.5,28.2,18.4,14.6,-11.209
Akron,1103.0,2026,119.03,106.474,0.782777,70.6254,59.1,50.8,33.9,29.9,15.7,18.6,-0.541246
Bowling Green,1132.0,2026,106.576,105.569,0.527266,68.2129,51.6,50.8,28.8,26.7,16.5,18.5,-8.71052
Memphis,1272.0,2026,108.32,104.742,0.595391,69.8831,49.0,48.8,35.1,35.7,19.0,18.7,-8.84425
Central Arkansas,1146.0,2026,110.272,108.752,0.539837,67.8845,54.0,54.9,28.8,27.4,15.4,19.0,-6.51015
Murray St.,1293.0,2026,115.709,112.699,0.575222,71.7633,53.8,52.3,33.0,31.3,16.2,16.0,-5.28831
American,1110.0,2026,105.815,112.536,0.33001,66.6948,51.5,54.4,26.9,29.4,15.6,19.2,-11.5574
Notre Dame,1323.0,2026,115.483,108.158,0.679959,65.9929,52.3,51.8,31.2,26.7,17.0,14.0,-5.60766
Creighton,1166.0,2026,115.922,106.37,0.72888,67.1998,53.5,51.3,27.7,29.9,16.6,14.2,-3.46032
Duke,1181.0,2026,128.542,90.5904,0.982431,65.8842,57.4,45.8,37.2,24.9,15.5,18.5,12.0119
Indiana St.,1232.0,2026,106.608,109.439,0.42521,68.1791,52.8,50.2,26.2,31.8,19.5,14.9,-14.5658
UCLA,1417.0,2026,124.493,102.749,0.90092,64.5038,54.0,50.4,31.3,32.1,13.5,18.1,2.87259
Pacific,1334.0,2026,111.085,104.803,0.66139,64.3642,52.2,50.0,35.3,25.0,20.1,15.1,-6.74375
Texas A&M,1401.0,2026,121.128,101.568,0.883442,71.1225,54.5,50.7,32.4,32.0,14.6,18.5,1.90417
North Texas,1317.0,2026,103.666,102.572,0.530473,64.7903,46.4,48.7,34.1,33.3,17.2,21.5,-6.8051
Nevada,1305.0,2026,115.216,105.15,0.741013,65.5554,49.8,51.7,32.4,27.6,14.6,17.3,-1.89239
UTSA,1427.0,2026,100.862,118.812,0.131982,68.5893,44.8,53.3,30.2,38.7,17.5,14.7,-18.5989
Mississippi Valley St.,,2026,91.4561,121.331,0.0373042,67.1006,45.2,55.5,26.4,35.5,21.9,17.1,-24.8167
Gardner Webb,1205.0,2026,96.0626,122.615,0.056972,69.5775,47.8,56.9,23.2,36.6,19.8,15.3,-23.0253
Prairie View A&M,1341.0,2026,101.599,114.147,0.207636,71.8767,47.6,51.6,26.9,35.3,16.3,19.4,-12.7291
Chattanooga,1151.0,2026,105.844,118.645,0.211992,67.0345,54.2,51.7,21.8,31.7,14.4,13.2,-15.2375
Georgia Southern,1204.0,2026,110.546,116.43,0.35516,70.0889,51.4,52.3,28.8,35.2,14.6,18.7,-11.8818
Northern Arizona,1319.0,2026,106.324,120.014,0.198955,63.7819,51.7,56.9,23.3,33.4,16.0,16.6,-16.5845
Nebraska,1304.0,2026,118.284,93.9281,0.934098,66.8912,55.7,47.6,26.2,27.3,14.3,19.3,7.55614
Yale,1463.0,2026,118.553,109.718,0.70902,65.039,56.1,51.8,32.8,28.3,14.2,16.6,-0.575477
Tennessee Martin,1404.0,2026,98.6309,106.016,0.303573,64.2404,48.7,46.1,37.0,32.0,21.4,20.0,-7.91718
Morehead St.,1287.0,2026,107.221,118.276,0.244443,65.3147,49.2,50.2,35.8,35.8,18.0,15.4,-8.93462
Tennessee,1397.0,2026,122.096,96.257,0.939035,65.4521,52.1,48.0,45.3,27.3,17.5,16.4,3.83842
Texas St.,1402.0,2026,105.01,110.191,0.364962,66.1314,50.0,52.0,33.9,28.4,18.6,18.5,-9.64568
Jackson St.,1238.0,2026,102.051,119.841,0.136108,69.5522,45.9,53.5,29.0,37.3,19.2,16.1,-13.038
Mississippi,1279.0,2026,114.011,104.494,0.731535,65.8543,50.2,51.1,28.9,32.9,14.2,16.9,-5.93878
Wyoming,1461.0,2026,115.615,107.786,0.69133,66.2357,52.5,52.2,34.3,27.3,16.7,16.7,-4.50823
Minnesota,1278.0,2026,116.553,102.46,0.814868,62.5227,54.0,51.8,27.3,29.8,16.4,17.2,-3.15887
Illinois,1228.0,2026,132.394,98.7588,0.966775,65.6559,55.0,47.5,39.1,26.9,13.4,11.7,6.87928
LIU,1254.0,2026,103.99,109.775,0.349201,67.8164,53.1,49.7,34.7,33.0,19.3,19.1,-5.67273
UTEP,1431.0,2026,101.714,110.318,0.28215,65.2033,48.3,51.5,26.2,32.8,17.4,18.0,-14.7128
Loyola Chicago,1260.0,2026,103.601,113.519,0.258953,65.9671,49.6,52.4,30.5,30.2,19.7,13.1,-15.2991
Texas,1400.0,2026,125.539,107.17,0.860489,66.9196,54.6,51.3,36.1,27.1,15.2,13.7,0.365604
Maryland Eastern Shore,1271.0,2026,93.4313,116.152,0.0756286,63.2652,47.8,50.5,32.0,33.6,23.8,17.9,-16.5485
Western Illinois,1442.0,2026,93.4641,123.624,0.0385628,66.4711,44.5,54.2,27.0,34.8,17.5,14.9,-22.9323
Fairleigh Dickinson,1192.0,2026,101.315,119.241,0.133135,64.0533,47.1,55.2,32.0,27.3,18.1,16.1,-16.6091
Cornell,1165.0,2026,120.262,118.904,0.532595,71.7323,58.8,55.6,29.4,29.9,16.2,15.2,-7.452
West Virginia,1452.0,2026,109.959,97.7365,0.794957,62.5006,51.3,48.2,30.9,28.5,17.0,18.0,-1.46533
Oklahoma,1328.0,2026,124.393,107.169,0.847351,66.3746,55.1,51.5,33.5,32.8,14.7,15.4,-0.879665
Queens,,2026,115.122,117.539,0.440524,69.4786,56.6,54.0,30.4,33.0,14.8,15.0,-6.87692
Southern Illinois,1356.0,2026,102.972,99.8414,0.587837,68.9982,49.2,49.0,30.9,27.3,17.0,18.5,-9.36217
San Diego St.,1361.0,2026,113.689,97.4304,0.855056,68.7747,53.2,48.6,29.1,31.0,17.0,20.6,-0.314837
Nebraska Omaha,1303.0,2026,106.567,113.046,0.336529,67.1191,52.2,52.7,25.5,28.7,16.1,14.1,-12.1563
East Texas A&M,1477.0,2026,101.037,111.89,0.236248,68.3173,49.2,52.9,25.7,32.8,19.2,17.0,-14.8446
DePaul,1177.0,2026,107.677,100.923,0.678088,66.5188,50.1,49.5,30.4,30.9,17.9,18.7,-4.52997
UT Rio Grande Valley,,2026,112.179,107.519,0.619605,66.5079,54.9,48.1,28.4,32.0,18.0,16.4,-7.36273
Chicago St.,1152.0,2026,100.528,119.177,0.123793,65.6277,45.3,56.7,28.3,35.0,15.6,20.1,-19.0802
South Dakota,1377.0,2026,104.97,114.501,0.269055,69.9484,49.9,54.5,28.7,30.3,16.6,15.9,-11.4605
Montana St.,1286.0,2026,111.407,107.939,0.589938,65.9141,53.6,51.7,27.0,28.2,14.7,15.7,-8.06347
Oklahoma St.,1329.0,2026,117.148,107.041,0.738386,72.2557,52.2,52.7,30.7,30.3,16.3,16.3,-0.720716
Wagner,1447.0,2026,102.759,115.797,0.202022,65.4446,49.6,50.4,32.8,29.6,18.5,14.9,-13.4706
Bethune Cookman,1126.0,2026,104.66,108.713,0.392461,69.1446,51.1,49.5,30.0,31.7,19.2,15.7,-7.44679
Wofford,1459.0,2026,108.979,117.473,0.296708,67.8262,52.5,53.8,29.8,29.0,13.4,14.9,-9.35658
Cal Poly,1142.0,2026,110.087,114.612,0.386212,74.1765,51.8,53.9,30.1,29.9,20.0,16.2,-11.5837
