Rank,Team,Conf,W-L,KP_AdjEM,KP_AdjO,KP_AdjD,KP_AdjT,KP_Luck,KP_SOS_AdjEM,KP_OppO,KP_OppD,KP_NCSOS_AdjEM,TeamID,Season
76,Nevada,MWC,20-11,11.01,116.1,105.0,65.5,0.013,6.33,112.9,106.6,3.21,1305.0,2026
77,USC,B10,18-13,10.85,114.2,103.3,70.6,0.084,12.47,116.9,104.4,-0.41,1425.0,2026
78,Yale,Ivy,23-5,10.79,120.5,109.7,64.8,0.064,-1.07,108.9,110.0,1.76,1463.0,2026
79,Dayton,A10,21-10,10.64,111.4,100.8,67.1,0.034,4.08,111.8,107.7,1.16,1173.0,2026
80,Syracuse,ACC,15-16,10.3,115.2,104.9,67.5,-0.044,10.24,113.9,103.6,-1.9,1393.0,2026
81,Mississippi,SEC,12-19,10.25,114.3,104.1,66.0,-0.1,13.0,117.8,104.8,-2.11,1279.0,2026
82,Butler,BE,16-15,9.8,116.4,106.6,68.7,-0.023,10.08,114.3,104.2,-2.66,1139.0,2026
83,George Washington,A10,17-14,9.76,118.2,108.4,69.2,-0.148,1.32,109.6,108.3,-2.59,1203.0,2026
84,Colorado St.,MWC,20-11,9.67,120.0,110.4,62.9,0.041,4.81,112.8,108.0,-2.04,1161.0,2026
85,Marquette,BE,12-19,9.67,111.9,102.2,68.7,-0.1,11.28,115.7,104.4,1.89,1266.0,2026
86,Georgetown,BE,14-17,9.66,115.0,105.3,66.4,-0.066,10.02,114.1,104.1,-4.1,1207.0,2026
87,Hofstra,CAA,23-10,9.63,114.8,105.2,64.7,-0.06,-0.48,108.6,109.1,3.6,1220.0,2026
88,Wichita St.,Amer,21-10,9.42,113.1,103.7,66.3,-0.044,0.65,110.1,109.4,-2.04,1455.0,2026
89,Stephen F. Austin,Slnd,27-4,9.34,113.8,104.4,66.0,-0.005,-4.12,106.2,110.3,-3.47,1372.0,2026
90,Utah Valley,WAC,24-7,9.3,113.6,104.3,69.0,0.042,-0.26,107.6,107.9,3.01,1430.0,2026
91,Miami OH,MAC,31-0,8.95,116.8,107.9,70.1,0.116,-5.18,107.7,112.9,-9.49,1275.0,2026
92,Notre Dame,ACC,13-18,8.86,115.8,107.0,66.0,-0.059,11.02,115.2,104.2,1.54,1323.0,2026
93,High Point,BSth,30-4,8.48,117.4,108.9,70.0,0.048,-8.82,104.1,112.9,-8.41,1219.0,2026
94,George Mason,A10,23-8,8.04,114.2,106.1,63.4,0.067,0.6,110.0,109.4,-7.48,1206.0,2026
95,South Carolina,SEC,13-18,7.86,112.4,104.6,66.5,-0.057,10.97,116.9,106.0,-8.44,1376.0,2026
96,Xavier,BE,14-17,7.73,116.6,108.9,70.2,-0.003,11.2,114.4,103.2,1.45,1462.0,2026
97,Oregon,B10,12-19,7.69,112.3,104.6,66.0,-0.03,13.22,117.1,103.9,1.84,1332.0,2026
98,Wyoming,MWC,18-13,7.62,115.5,107.8,66.3,-0.009,4.15,112.3,108.1,-4.89,1461.0,2026
99,Pittsburgh,ACC,12-19,7.56,113.1,105.6,63.7,-0.079,10.84,115.1,104.3,0.95,1338.0,2026
100,Mississippi St.,SEC,13-18,7.29,113.6,106.3,69.6,0.001,13.12,117.8,104.6,0.84,1280.0,2026
101,Kansas St.,B12,12-19,7.17,113.1,105.9,72.6,-0.069,13.06,116.3,103.3,0.36,1243.0,2026
102,DePaul,BE,16-15,7.0,107.9,100.9,66.4,-0.004,8.05,113.8,105.7,-9.71,1177.0,2026
103,Illinois St.,MVC,20-12,6.64,110.8,104.1,66.7,-0.009,1.67,110.4,108.7,-2.5,1229.0,2026
104,UNLV,MWC,16-15,6.34,116.0,109.7,70.1,-0.01,6.36,112.7,106.4,1.43,1424.0,2026
105,Illinois Chicago,MVC,19-15,6.16,110.7,104.6,66.4,-0.061,1.92,110.5,108.6,-2.09,1227.0,2026
106,UC Irvine,BW,22-10,6.04,104.2,98.2,68.4,-0.007,-0.68,109.0,109.7,0.88,1414.0,2026
107,Davidson,A10,19-12,5.93,110.8,104.8,63.8,0.029,2.64,110.4,107.8,0.21,1172.0,2026
108,Sam Houston St.,CUSA,21-10,5.9,115.0,109.1,70.2,-0.003,0.09,109.9,109.9,6.29,1358.0,2026
109,St. Thomas,Sum,24-9,5.89,114.3,108.4,68.3,-0.034,-5.32,107.7,113.1,-0.58,1472.0,2026
110,UNC Wilmington,CAA,26-6,5.83,112.2,106.3,65.1,0.028,-4.7,106.9,111.6,-8.0,1423.0,2026
111,Pacific,WCC,18-15,5.46,111.0,105.6,64.3,-0.02,3.32,110.9,107.6,0.33,1334.0,2026
112,Cal Baptist,WAC,23-8,5.44,108.2,102.8,65.7,0.084,-1.9,107.3,109.1,-2.91,1465.0,2026
113,UC San Diego,BW,22-10,5.29,109.0,103.7,67.3,0.004,-0.74,108.3,109.0,0.58,1471.0,2026
114,North Dakota St.,Sum,27-7,5.14,112.0,106.9,66.4,0.04,-5.49,106.9,112.4,-0.61,1295.0,2026
115,Hawaii,BW,22-8,5.03,107.3,102.2,69.8,0.028,-3.54,107.0,110.6,-10.77,1218.0,2026
116,Liberty,CUSA,25-6,4.65,118.3,113.7,63.9,0.157,-1.44,108.0,109.4,1.13,1251.0,2026
117,Southern Illinois,MVC,16-16,4.62,104.1,99.5,69.0,-0.094,2.22,110.4,108.2,0.4,1356.0,2026
118,Seattle,WCC,20-13,4.59,102.5,98.0,67.7,0.017,2.06,111.1,109.1,-3.09,1370.0,2026
119,UT Rio Grande Valley,Slnd,19-13,4.37,111.6,107.2,66.5,-0.043,-1.47,108.1,109.5,8.71,,2026
120,San Francisco,WCC,17-16,4.3,114.0,109.7,66.0,-0.006,4.54,111.3,106.8,0.75,1362.0,2026
121,Murray St.,MVC,20-12,4.15,116.5,112.3,71.6,0.043,1.54,110.2,108.7,-3.37,1293.0,2026
122,Saint Joseph's,A10,21-10,4.04,107.0,103.0,68.3,0.093,1.01,109.4,108.4,-4.62,1386.0,2026
123,Bradley,MVC,21-12,4.0,112.0,108.0,67.4,0.039,1.05,109.4,108.4,-5.02,1133.0,2026
124,UAB,Amer,20-11,3.97,109.9,106.0,69.1,0.02,-0.4,109.1,109.5,-5.04,1412.0,2026
125,UC Santa Barbara,BW,18-13,3.46,114.4,110.9,64.1,-0.058,-0.9,107.8,108.7,-0.28,1364.0,2026
126,Florida Atlantic,Amer,17-14,3.45,110.5,107.1,69.6,-0.034,2.29,110.8,108.5,3.26,1194.0,2026
127,Utah,B12,10-21,3.44,114.7,111.3,66.1,-0.007,12.17,116.3,104.1,0.35,1428.0,2026
