Rank,Team,Conf,W-L,KP_AdjEM,KP_AdjO,KP_AdjD,KP_AdjT,KP_Luck,KP_SOS_AdjEM,KP_OppO,KP_OppD,KP_NCSOS_AdjEM,TeamID,Season
227,Ohio,MAC,15-16,-5.27,108.2,113.5,68.8,0.032,-1.18,109.2,110.4,1.26,1325.0,2026
228,Stony Brook,CAA,17-15,-5.46,105.5,111.0,66.3,0.064,-2.54,107.3,109.8,-3.94,1392.0,2026
229,Western Carolina,SC,15-16,-5.49,109.5,115.0,67.8,-0.015,-3.61,109.2,112.8,10.23,1441.0,2026
230,Elon,CAA,14-18,-5.63,110.4,116.0,66.9,-0.03,-1.97,108.8,110.8,-2.66,1189.0,2026
231,Southeast Missouri,OVC,20-13,-5.85,102.4,108.3,68.9,0.031,-7.72,104.4,112.1,4.78,,2026
232,Vermont,AE,21-11,-5.86,107.4,113.3,65.0,0.0,-10.72,103.4,114.1,-1.99,1436.0,2026
233,Long Beach St.,BW,10-22,-5.88,105.7,111.6,68.6,-0.03,1.22,109.1,107.9,4.64,1253.0,2026
234,Denver,Sum,15-17,-5.95,116.2,122.2,67.9,0.007,-1.3,109.5,110.8,8.3,1176.0,2026
235,Georgia Southern,SB,21-16,-6.08,110.5,116.6,70.1,0.057,-5.48,106.2,111.7,-6.38,1204.0,2026
236,San Jose St.,MWC,8-23,-6.1,111.6,117.7,64.9,-0.019,7.05,113.3,106.2,2.3,1363.0,2026
237,Bethune Cookman,SWAC,17-14,-6.21,103.9,110.1,69.3,0.084,-6.7,105.5,112.2,14.16,1126.0,2026
238,Nicholls,Slnd,14-19,-6.21,106.0,112.2,68.2,0.044,0.24,108.9,108.6,10.03,1311.0,2026
239,Lamar,Slnd,12-19,-6.25,103.3,109.5,65.6,-0.089,-2.36,107.6,109.9,-0.28,1249.0,2026
240,Eastern Michigan,MAC,10-21,-6.38,102.0,108.4,66.5,-0.096,-0.2,110.2,110.4,2.22,1185.0,2026
241,American,PL,16-16,-6.39,105.8,112.2,66.7,-0.024,-7.61,105.7,113.3,0.79,1110.0,2026
242,Charleston Southern,BSth,15-17,-6.41,106.1,112.5,71.6,-0.09,-6.01,106.4,112.4,-5.1,1149.0,2026
243,Florida Gulf Coast,ASun,16-18,-6.64,105.8,112.4,67.6,-0.029,-5.58,108.5,114.0,0.41,1195.0,2026
244,Texas St.,SB,19-13,-6.66,104.3,110.9,66.1,0.084,-6.54,105.7,112.3,-8.81,1402.0,2026
245,UNC Asheville,BSth,15-17,-6.68,105.1,111.7,64.8,-0.016,-3.34,108.4,111.7,1.53,1421.0,2026
246,Abilene Christian,WAC,13-18,-6.74,100.9,107.6,67.5,0.026,0.94,108.9,108.0,1.32,1101.0,2026
247,Coastal Carolina,SB,19-13,-6.86,102.0,108.9,66.9,0.132,-4.64,107.2,111.9,-1.84,1157.0,2026
248,Old Dominion,SB,12-21,-6.9,106.4,113.3,69.0,-0.073,-2.64,108.7,111.4,5.27,1330.0,2026
249,Idaho St.,BSky,13-20,-7.02,109.7,116.7,65.6,-0.035,-0.27,109.6,109.8,3.82,1226.0,2026
250,Colgate,PL,18-15,-7.06,107.9,115.0,66.9,0.044,-6.71,106.6,113.3,5.44,1159.0,2026
251,Princeton,Ivy,9-20,-7.07,105.6,112.7,63.5,-0.077,-0.56,109.6,110.2,-0.18,1343.0,2026
252,Southern Utah,WAC,10-21,-7.09,107.3,114.4,70.2,-0.046,2.55,109.2,106.7,6.1,1381.0,2026
253,Boston University,PL,17-16,-7.28,112.6,119.8,63.2,-0.023,-8.37,104.6,113.0,-4.45,1131.0,2026
254,Wofford,SC,19-13,-7.29,109.4,116.7,67.9,0.073,-7.24,108.4,115.7,-4.03,1459.0,2026
255,East Carolina,Amer,11-20,-7.42,103.8,111.2,68.7,-0.006,-0.2,110.0,110.2,-2.72,1187.0,2026
256,Saint Peter's,MAAC,17-12,-7.56,103.2,110.7,65.6,0.066,-7.72,104.4,112.1,-0.9,1389.0,2026
257,SIUE,OVC,19-13,-7.61,99.8,107.4,64.4,-0.007,-10.47,102.8,113.3,-7.44,1188.0,2026
258,Radford,BSth,16-16,-7.64,106.5,114.2,70.6,-0.036,-6.8,106.3,113.1,-6.1,1347.0,2026
259,Iona,MAAC,18-14,-7.71,104.2,111.9,68.8,0.041,-8.33,104.4,112.8,-2.69,1233.0,2026
260,UC Riverside,BW,10-22,-7.79,104.1,111.9,68.6,-0.048,1.81,109.9,108.1,6.7,1415.0,2026
261,Purdue Fort Wayne,Horz,17-15,-7.85,105.6,113.4,67.7,0.118,-1.47,110.9,112.4,8.03,1236.0,2026
262,Nebraska Omaha,Sum,16-17,-7.97,106.4,114.4,67.1,0.033,-2.43,109.0,111.5,3.58,1303.0,2026
263,Pepperdine,WCC,9-23,-8.06,105.5,113.6,68.6,-0.018,3.37,110.7,107.3,-1.81,1337.0,2026
264,Fairfield,MAAC,21-13,-8.15,106.0,114.2,67.0,0.078,-9.34,103.3,112.6,-8.37,1193.0,2026
265,Sacramento St.,BSky,10-21,-8.31,106.0,114.3,71.8,-0.022,1.76,111.0,109.3,9.22,1170.0,2026
266,Incarnate Word,Slnd,12-19,-8.43,109.0,117.5,65.5,-0.028,-1.12,108.0,109.1,7.19,1230.0,2026
267,Lindenwood,OVC,18-15,-8.51,100.8,109.3,72.4,0.017,-8.55,103.5,112.1,2.34,1473.0,2026
268,Milwaukee,Horz,12-20,-8.85,106.6,115.5,67.4,0.013,-1.32,111.0,112.3,6.84,1454.0,2026
269,Presbyterian,BSth,15-18,-9.03,103.5,112.5,64.2,-0.02,-4.55,107.4,112.0,-1.65,1342.0,2026
270,Central Michigan,MAC,10-21,-9.09,106.1,115.2,67.1,-0.098,-1.33,108.8,110.1,1.62,1141.0,2026
271,Longwood,BSth,16-16,-9.12,103.7,112.9,68.5,-0.036,-8.06,104.9,112.9,-10.36,1255.0,2026
272,Hampton,CAA,13-19,-9.12,102.8,111.9,65.4,-0.013,-3.36,106.8,110.1,-7.02,1214.0,2026
273,Western Michigan,MAC,10-21,-9.23,108.0,117.2,67.7,-0.036,-0.96,108.9,109.9,-1.77,1444.0,2026
274,Dartmouth,Ivy,11-16,-9.3,105.0,114.3,69.5,0.0,-1.88,108.9,110.8,-4.1,1171.0,2026
275,Southern,SWAC,15-16,-9.5,104.5,114.0,70.5,0.043,-5.35,106.2,111.5,15.5,1380.0,2026
276,North Dakota,Sum,18-17,-9.56,107.1,116.6,67.3,0.111,-3.35,108.3,111.7,-0.28,1315.0,2026
277,UTEP,CUSA,11-20,-9.57,101.1,110.7,65.5,0.01,-0.03,109.1,109.1,3.73,1431.0,2026
278,Mount St. Mary's,MAAC,15-17,-9.62,99.6,109.2,67.6,0.028,-6.92,104.8,111.7,1.11,1291.0,2026
279,Bellarmine,ASun,13-19,-9.65,116.8,126.4,64.7,-0.013,-4.43,108.9,113.3,2.78,1468.0,2026
280,Northwestern St.,Slnd,10-22,-10.14,102.5,112.7,64.8,-0.013,-0.55,108.1,108.6,8.24,1322.0,2026
281,South Dakota,Sum,16-16,-10.31,104.5,114.8,69.9,0.056,-5.42,107.4,112.8,-3.44,1377.0,2026
282,Morehead St.,OVC,20-13,-10.36,107.1,117.5,65.4,0.16,-6.7,104.4,111.1,6.58,1287.0,2026
283,Northeastern,CAA,7-24,-10.5,107.8,118.3,69.6,-0.061,-1.35,108.6,109.9,-0.39,1318.0,2026
284,Mercyhurst,NEC,17-16,-10.55,101.3,111.8,64.8,-0.006,-10.97,102.8,113.8,0.57,1479.0,2026
285,Southeastern Louisiana,Slnd,9-22,-10.59,99.8,110.4,65.5,-0.006,-0.57,108.5,109.0,5.43,1368.0,2026
286,East Texas A&M,Slnd,11-21,-10.8,100.9,111.7,68.2,0.001,-0.47,108.5,109.0,6.98,1477.0,2026
287,Brown,Ivy,9-18,-10.82,98.2,109.0,66.5,-0.05,-3.57,108.3,111.9,-8.34,1135.0,2026
288,North Carolina A&T,CAA,11-19,-10.92,105.5,116.4,68.6,-0.023,-3.35,107.8,111.2,-8.59,1299.0,2026
289,Houston Christian,Slnd,12-20,-11.12,103.1,114.2,64.4,0.034,-2.08,108.0,110.0,-0.64,1223.0,2026
290,Lehigh,PL,17-16,-11.2,102.8,114.0,67.0,0.088,-8.09,105.3,113.4,-0.22,1250.0,2026
291,Ball St.,MAC,12-19,-11.34,98.7,110.1,63.7,-0.005,-3.73,108.5,112.2,-6.09,1123.0,2026
292,Delaware,CUSA,10-21,-11.36,104.6,116.0,63.2,0.006,-2.52,107.9,110.4,-6.65,1174.0,2026
293,Loyola Chicago,A10,8-23,-11.43,103.3,114.8,65.8,0.062,3.15,110.9,107.7,-4.44,1260.0,2026
294,Grambling St.,SWAC,14-18,-11.43,97.5,108.9,67.6,-0.042,-8.6,103.8,112.4,2.4,1212.0,2026
295,Jacksonville,ASun,12-20,-11.47,103.3,114.8,63.4,-0.03,-3.73,109.4,113.1,5.63,1239.0,2026
296,Sacred Heart,MAAC,14-19,-11.5,107.5,119.0,68.5,0.001,-7.15,104.5,111.7,-1.67,1357.0,2026
297,Eastern Kentucky,ASun,11-21,-11.67,109.4,121.1,67.3,-0.017,-3.73,109.2,112.9,3.38,1184.0,2026
298,Le Moyne,NEC,15-17,-11.85,102.3,114.1,69.6,-0.018,-10.34,103.0,113.3,-1.5,1478.0,2026
299,UNC Greensboro,SC,15-19,-12.15,108.0,120.1,67.7,0.056,-5.75,108.4,114.1,-0.5,1422.0,2026
300,Chattanooga,SC,13-19,-12.2,105.6,117.8,67.3,-0.029,-6.66,108.2,114.9,-2.22,1151.0,2026
301,Alabama A&M,SWAC,17-14,-12.24,104.9,117.2,65.5,0.053,-10.52,102.5,113.0,-1.89,1105.0,2026
302,USC Upstate,BSth,13-19,-12.4,99.2,111.6,67.6,0.025,-5.22,106.5,111.7,-1.17,1367.0,2026
303,Stetson,ASun,12-21,-12.55,105.5,118.1,66.7,0.008,-3.53,108.9,112.5,5.13,1391.0,2026
304,West Georgia,ASun,15-17,-12.56,101.8,114.4,69.2,0.072,-6.35,109.1,115.4,0.62,1480.0,2026
305,Central Connecticut,NEC,18-12,-12.77,104.9,117.7,65.1,0.116,-10.83,102.5,113.4,-1.78,1148.0,2026
306,Wagner,NEC,14-17,-12.8,102.8,115.6,65.5,-0.001,-8.78,103.6,112.4,6.12,1447.0,2026
307,Evansville,MVC,7-25,-12.81,102.2,115.0,67.0,-0.011,4.9,111.3,106.4,4.16,1191.0,2026
308,Texas Southern,SWAC,12-17,-12.87,102.4,115.2,68.6,-0.025,-8.28,104.3,112.6,12.97,1411.0,2026
309,Little Rock,OVC,12-20,-12.96,103.0,116.0,66.7,-0.033,-6.12,103.9,110.0,5.03,1114.0,2026
310,Georgia St.,SB,10-22,-12.96,99.5,112.5,67.9,-0.04,-3.69,107.6,111.3,-0.13,1209.0,2026
311,Oral Roberts,Sum,10-23,-12.98,102.3,115.3,67.8,-0.055,-1.49,109.9,111.4,5.63,1331.0,2026
312,Prairie View A&M,SWAC,14-17,-13.06,101.1,114.2,72.0,-0.013,-8.74,104.1,112.9,9.21,1341.0,2026
313,Louisiana,SB,11-22,-13.27,100.4,113.6,63.3,0.033,-4.19,106.8,111.0,-1.59,1418.0,2026
314,Tennessee Tech,OVC,13-18,-13.36,102.8,116.1,66.9,-0.028,-7.31,103.9,111.2,3.26,1399.0,2026
315,Florida A&M,SWAC,14-15,-13.4,98.7,112.1,68.2,0.081,-8.09,104.5,112.6,8.07,1197.0,2026
316,Arkansas Pine Bluff,SWAC,13-18,-13.41,103.3,116.7,69.1,0.038,-5.14,106.4,111.6,14.7,1115.0,2026
317,IU Indy,Horz,7-25,-13.9,105.7,119.6,73.3,-0.033,-3.12,109.4,112.5,-0.62,1237.0,2026
318,UMass Lowell,AE,15-17,-14.1,102.8,116.9,69.2,0.018,-9.35,103.8,113.1,2.49,1262.0,2026
319,Alabama St.,SWAC,10-22,-14.39,99.4,113.8,69.5,-0.071,-6.45,104.6,111.1,8.67,1106.0,2026
320,Northern Arizona,BSky,10-22,-14.44,105.4,119.8,63.9,0.031,-0.7,109.9,110.6,0.52,1319.0,2026
321,Norfolk St.,MEAC,15-16,-14.58,101.7,116.3,67.9,-0.009,-10.99,101.9,112.9,0.85,1313.0,2026
322,Cleveland St.,Horz,11-22,-14.69,109.5,124.2,69.8,0.04,-1.7,110.3,112.0,4.41,1156.0,2026
323,Loyola MD,PL,12-20,-14.84,104.4,119.3,68.2,-0.027,-8.94,104.4,113.3,-6.45,1259.0,2026
324,Albany,AE,11-21,-14.9,103.6,118.5,65.2,-0.086,-6.98,105.2,112.1,4.61,1107.0,2026
325,Eastern Illinois,OVC,13-20,-14.92,97.1,112.0,65.7,0.037,-5.82,105.0,110.8,12.52,1183.0,2026
326,Lafayette,PL,11-21,-15.23,101.0,116.2,66.8,0.009,-7.3,105.7,112.9,-0.38,1248.0,2026
327,Cal St. Bakersfield,BW,8-24,-15.41,102.0,117.4,70.2,0.012,0.62,108.4,107.7,0.63,,2026
328,New Haven,NEC,14-17,-16.11,96.4,112.5,63.3,0.041,-9.12,103.3,112.4,3.27,1481.0,2026
329,Manhattan,MAAC,12-20,-16.48,104.7,121.1,67.9,0.053,-7.87,103.7,111.6,-2.57,1264.0,2026
330,Holy Cross,PL,11-22,-16.5,101.0,117.5,65.6,-0.007,-6.79,106.5,113.2,0.16,1221.0,2026
331,Bucknell,PL,10-23,-16.67,98.4,115.1,66.9,0.015,-5.69,107.2,112.9,2.36,1137.0,2026
332,NJIT,AE,16-16,-16.87,97.3,114.2,67.9,0.126,-9.24,103.6,112.9,1.34,1312.0,2026
333,Stonehill,NEC,12-21,-17.32,92.0,109.4,66.4,-0.007,-10.0,103.3,113.3,-2.89,1476.0,2026
334,Northern Illinois,MAC,9-21,-17.33,97.2,114.5,67.5,0.014,-0.83,109.5,110.4,2.45,1296.0,2026
335,North Florida,ASun,7-25,-17.57,107.1,124.7,70.4,-0.029,-3.16,108.5,111.6,8.13,1316.0,2026
336,Fairleigh Dickinson,NEC,11-21,-17.65,101.1,118.7,63.9,-0.006,-8.25,103.8,112.0,5.6,1192.0,2026
337,Army,PL,11-21,-18.44,100.4,118.8,67.1,0.044,-7.5,106.0,113.5,-1.62,1119.0,2026
338,Niagara,MAAC,8-22,-18.5,99.8,118.3,62.1,-0.038,-7.91,104.3,112.2,-3.61,1310.0,2026
339,Southern Indiana,OVC,7-23,-18.62,95.8,114.4,67.6,-0.105,-7.92,104.0,111.9,-1.31,1475.0,2026
340,UTSA,Amer,5-25,-18.69,99.8,118.5,68.7,-0.001,1.75,110.4,108.7,2.08,1427.0,2026
341,Jackson St.,SWAC,11-20,-19.16,100.9,120.1,69.4,0.097,-5.59,105.9,111.5,13.66,1238.0,2026
342,North Alabama,ASun,9-21,-19.25,99.8,119.0,64.9,0.057,-4.41,109.2,113.6,2.31,1466.0,2026
343,Canisius,MAAC,10-21,-19.27,95.5,114.8,64.2,0.019,-7.6,104.7,112.3,-3.21,1145.0,2026
344,Air Force,MWC,3-28,-19.52,96.5,116.1,66.2,-0.002,5.21,112.5,107.3,-4.47,1102.0,2026
345,Chicago St.,NEC,7-25,-19.61,99.7,119.3,65.4,-0.032,-4.29,106.0,110.3,11.08,1152.0,2026
346,The Citadel,SC,11-22,-20.19,101.0,121.2,64.4,0.028,-5.24,108.3,113.6,-1.36,1154.0,2026
347,Alcorn St.,SWAC,9-22,-20.27,97.0,117.3,67.4,0.047,-4.85,106.1,110.9,13.19,1108.0,2026
348,Maine,AE,8-24,-20.29,91.8,112.1,64.8,-0.031,-8.82,104.4,113.2,-1.0,1263.0,2026
349,Maryland Eastern Shore,MEAC,9-22,-20.37,94.7,115.1,63.1,-0.046,-8.34,104.3,112.7,5.47,1271.0,2026
350,New Hampshire,AE,9-21,-20.7,95.5,116.2,67.5,-0.002,-7.74,104.7,112.4,5.73,1306.0,2026
351,Louisiana Monroe,SB,4-28,-21.07,101.4,122.5,70.2,-0.099,-3.4,107.0,110.4,-1.08,1419.0,2026
352,Morgan St.,MEAC,14-15,-21.24,100.2,121.5,70.8,0.118,-11.82,101.4,113.2,-1.32,1288.0,2026
353,North Carolina Central,MEAC,12-17,-21.93,99.6,121.5,66.4,0.058,-8.89,103.5,112.4,9.49,1300.0,2026
354,Saint Francis,NEC,7-24,-22.31,99.8,122.1,70.0,-0.025,-6.52,105.3,111.8,7.56,,2026
355,Bryant,AE,9-22,-22.98,96.8,119.8,64.2,0.009,-7.6,104.0,111.6,2.79,1136.0,2026
356,South Carolina St.,MEAC,9-21,-24.1,95.3,119.4,68.2,0.022,-8.38,104.4,112.8,3.74,1354.0,2026
357,Rider,MAAC,4-25,-24.46,95.9,120.3,65.8,-0.024,-4.7,106.1,110.8,11.15,1351.0,2026
358,Kansas City,Sum,4-27,-25.11,92.4,117.5,69.8,-0.017,-1.28,110.4,111.7,6.25,1282.0,2026
359,Binghamton,AE,8-23,-25.51,97.8,123.4,65.3,-0.019,-11.96,102.1,114.0,-7.97,1127.0,2026
360,VMI,SC,6-26,-26.21,98.9,125.1,70.5,-0.04,-7.6,104.0,111.6,-1.31,1440.0,2026
